date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,1.0,-1.0,-15.0,-1.0,3.0,1.0
2020-02-16,-8.0,-4.0,-23.0,-7.0,-3.0,2.0
2020-02-17,-8.0,-6.0,-30.0,5.0,17.0,-1.0
2020-02-18,-9.0,-6.0,-32.0,5.0,16.0,-1.0
2020-02-19,-4.0,-4.0,-8.0,6.0,17.0,-1.0
2020-02-20,0.0,-1.0,-5.0,10.0,17.0,-2.0
2020-02-21,0.0,4.0,-28.0,9.0,18.0,-2.0
2020-02-22,5.0,9.0,9.0,21.0,1.0,0.0
2020-02-23,7.0,13.0,16.0,-3.0,-2.0,2.0
2020-02-24,-3.0,0.0,68.0,-17.0,-31.0,5.0
2020-02-25,-23.0,-20.0,-3.0,-18.0,-40.0,9.0
2020-02-26,-13.0,-7.0,-31.0,-1.0,7.0,3.0
2020-02-27,-4.0,-2.0,-8.0,7.0,18.0,-1.0
2020-02-28,-5.0,-2.0,-28.0,2.0,20.0,-1.0
2020-02-29,-4.0,-2.0,-24.0,-6.0,5.0,2.0
2020-03-01,-14.0,-4.0,-36.0,-15.0,-2.0,4.0
2020-03-02,-13.0,-7.0,-52.0,-1.0,19.0,-1.0
2020-03-03,-12.0,-7.0,-50.0,0.0,17.0,-1.0
2020-03-04,-6.0,-4.0,-19.0,5.0,19.0,-1.0
2020-03-05,-3.0,-2.0,-21.0,6.0,19.0,-2.0
2020-03-06,2.0,3.0,-36.0,7.0,21.0,-3.0
2020-03-07,10.0,8.0,-27.0,0.0,5.0,-1.0
2020-03-08,2.0,2.0,-27.0,-6.0,0.0,1.0
2020-03-09,-8.0,-4.0,-30.0,-1.0,12.0,-1.0
2020-03-10,-6.0,-2.0,-37.0,8.0,18.0,-3.0
2020-03-11,-3.0,-1.0,-14.0,9.0,19.0,-2.0
2020-03-12,-3.0,-1.0,-20.0,8.0,18.0,-2.0
2020-03-13,-4.0,0.0,-35.0,4.0,20.0,-2.0
2020-03-14,-2.0,1.0,-26.0,-6.0,4.0,1.0
2020-03-15,-12.0,-1.0,-29.0,-12.0,-2.0,2.0
2020-03-16,-18.0,-2.0,-53.0,-6.0,16.0,0.0
2020-03-17,-22.0,6.0,-57.0,-14.0,7.0,2.0
2020-03-18,-41.0,12.0,-54.0,-32.0,-7.0,8.0
2020-03-19,-73.0,-29.0,-63.0,-70.0,-45.0,19.0
2020-03-20,-79.0,-37.0,-81.0,-77.0,-53.0,25.0
2020-03-21,-84.0,-47.0,-87.0,-79.0,-56.0,23.0
2020-03-22,-87.0,-58.0,-91.0,-82.0,-50.0,24.0
2020-03-23,-83.0,-49.0,-86.0,-83.0,-64.0,28.0
2020-03-24,-82.0,-48.0,-85.0,-82.0,-64.0,27.0
2020-03-25,-79.0,-46.0,-75.0,-80.0,-61.0,27.0
2020-03-26,-77.0,-44.0,-74.0,-79.0,-60.0,25.0
2020-03-27,-77.0,-43.0,-79.0,-78.0,-57.0,27.0
2020-03-28,-79.0,-41.0,-81.0,-75.0,-50.0,21.0
2020-03-29,-80.0,-49.0,-84.0,-76.0,-40.0,20.0
2020-03-30,-70.0,-37.0,-76.0,-77.0,-49.0,22.0
2020-03-31,-69.0,-33.0,-74.0,-75.0,-49.0,21.0
2020-04-01,-66.0,-29.0,-65.0,-74.0,-46.0,21.0
2020-04-02,-64.0,-31.0,-70.0,-74.0,-45.0,20.0
2020-04-03,-64.0,-27.0,-74.0,-72.0,-43.0,21.0
2020-04-04,-66.0,-26.0,-76.0,-68.0,-39.0,17.0
2020-04-05,-74.0,-37.0,-80.0,-72.0,-35.0,17.0
2020-04-06,-58.0,-29.0,-80.0,-73.0,-37.0,18.0
2020-04-07,-52.0,-18.0,-75.0,-68.0,-35.0,16.0
2020-04-08,-48.0,-14.0,-59.0,-66.0,-32.0,16.0
2020-04-09,-43.0,0.0,-58.0,-63.0,-33.0,13.0
2020-04-10,-76.0,-44.0,-71.0,-76.0,-76.0,28.0
2020-04-11,-56.0,-8.0,-73.0,-62.0,-34.0,16.0
2020-04-12,-75.0,-54.0,-79.0,-66.0,-29.0,13.0
2020-04-13,-48.0,-25.0,-72.0,-67.0,-27.0,15.0
2020-04-14,-50.0,-26.0,-73.0,-67.0,-27.0,15.0
2020-04-15,-47.0,-22.0,-60.0,-65.0,-26.0,15.0
2020-04-16,-47.0,-23.0,-61.0,-66.0,-26.0,15.0
2020-04-17,-50.0,-22.0,-70.0,-66.0,-25.0,16.0
2020-04-18,-56.0,-22.0,-71.0,-62.0,-22.0,14.0
2020-04-19,-70.0,-36.0,-74.0,-70.0,-29.0,15.0
2020-04-20,-46.0,-20.0,-67.0,-66.0,-30.0,14.0
2020-04-21,-65.0,-41.0,-60.0,-73.0,-60.0,21.0
2020-04-22,-44.0,-22.0,-54.0,-64.0,-21.0,13.0
2020-04-23,-44.0,-24.0,-55.0,-65.0,-22.0,13.0
2020-04-24,-46.0,-23.0,-65.0,-65.0,-20.0,14.0
2020-04-25,-48.0,-20.0,-64.0,-59.0,-17.0,12.0
2020-04-26,-60.0,-32.0,-66.0,-64.0,-22.0,13.0
2020-04-27,-47.0,-29.0,-74.0,-68.0,-20.0,14.0
2020-04-28,-45.0,-25.0,-70.0,-65.0,-21.0,10.0
2020-04-29,-42.0,-22.0,-53.0,-63.0,-19.0,13.0
2020-04-30,-35.0,-5.0,-55.0,-59.0,-19.0,9.0
2020-05-01,-66.0,-43.0,-62.0,-73.0,-68.0,24.0
2020-05-02,-44.0,-12.0,-64.0,-59.0,-21.0,12.0
2020-05-03,-58.0,-31.0,-69.0,-62.0,-20.0,12.0
2020-05-04,-41.0,-19.0,-69.0,-63.0,-17.0,12.0
2020-05-05,-41.0,-17.0,-70.0,-61.0,-19.0,12.0
2020-05-06,-38.0,-13.0,-63.0,-63.0,-18.0,13.0
2020-05-07,-30.0,-5.0,-55.0,-58.0,-17.0,11.0
2020-05-08,-29.0,-2.0,-64.0,-57.0,-15.0,12.0
2020-05-09,-25.0,8.0,-65.0,-49.0,-10.0,10.0
2020-05-10,-52.0,-21.0,-72.0,-57.0,-2.0,9.0
2020-05-11,-36.0,-16.0,-67.0,-61.0,-16.0,12.0
2020-05-12,-38.0,-16.0,-68.0,-59.0,-17.0,11.0
2020-05-13,-40.0,-20.0,-64.0,-63.0,-17.0,13.0
2020-05-14,-38.0,-17.0,-61.0,-62.0,-17.0,11.0
2020-05-15,-37.0,-14.0,-66.0,-61.0,-16.0,13.0
2020-05-16,-39.0,-12.0,-62.0,-55.0,-11.0,11.0
2020-05-17,-53.0,-25.0,-64.0,-62.0,-14.0,12.0
2020-05-18,-38.0,-20.0,-66.0,-63.0,-15.0,12.0
2020-05-19,-39.0,-19.0,-66.0,-61.0,-16.0,12.0
2020-05-20,-36.0,-15.0,-54.0,-60.0,-15.0,12.0
2020-05-21,-36.0,-15.0,-56.0,-60.0,-16.0,12.0
2020-05-22,-40.0,-16.0,-72.0,-63.0,-15.0,14.0
2020-05-23,-40.0,-13.0,-68.0,-56.0,-11.0,12.0
2020-05-24,-53.0,-26.0,-67.0,-61.0,-13.0,13.0
2020-05-25,-38.0,-19.0,-67.0,-62.0,-14.0,12.0
2020-05-26,-39.0,-18.0,-67.0,-60.0,-14.0,12.0
2020-05-27,-36.0,-16.0,-54.0,-59.0,-13.0,12.0
2020-05-28,-35.0,-15.0,-55.0,-59.0,-14.0,12.0
2020-05-29,-34.0,-10.0,-64.0,-58.0,-12.0,12.0
