date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-05-11,-36.0,-8.0,-18.0,-49.0,-16.0,12.0
2020-05-12,-37.0,-8.0,-28.0,-50.0,-18.0,13.0
2020-05-13,-38.0,-12.0,-18.0,-52.0,-18.0,14.0
2020-05-14,-41.0,-15.0,-19.0,-52.0,-20.0,13.0
2020-05-15,-43.0,-7.0,-25.0,-52.0,-16.0,14.0
2020-05-16,-51.0,-9.0,-32.0,-57.0,-14.0,13.0
2020-05-17,-63.0,-31.0,-39.0,-68.0,-15.0,12.0
2020-05-18,-49.0,-20.0,-26.0,-61.0,-21.0,15.0
2020-05-19,-44.0,-14.0,-31.0,-57.0,-22.0,15.0
2020-05-20,-52.0,-18.0,-19.0,-63.0,-36.0,18.0
2020-05-21,-41.0,-15.0,-20.0,-55.0,-21.0,16.0
2020-05-22,-44.0,-9.0,-29.0,-56.0,-18.0,15.0
2020-05-23,-50.0,-11.0,-28.0,-60.0,-13.0,12.0
2020-05-24,-57.0,-21.0,-32.0,-68.0,-9.0,10.0
2020-05-25,-39.0,-10.0,-21.0,-54.0,-16.0,14.0
2020-05-26,-41.0,-13.0,-33.0,-53.0,-18.0,14.0
2020-05-27,-37.0,-10.0,-21.0,-52.0,-16.0,14.0
2020-05-28,-40.0,-14.0,-23.0,-51.0,-17.0,14.0
2020-05-29,-36.0,0.0,-27.0,-51.0,-12.0,14.0
