date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,11.0,6.0,-10.0,-3.0,4.0,0.0
2020-02-16,8.0,5.0,2.0,6.0,2.0,1.0
2020-02-17,2.0,5.0,11.0,0.0,11.0,0.0
2020-02-18,-1.0,1.0,5.0,-1.0,12.0,0.0
2020-02-19,-3.0,1.0,-1.0,-12.0,7.0,0.0
2020-02-20,-2.0,-3.0,-11.0,-10.0,7.0,1.0
2020-02-21,9.0,12.0,8.0,-1.0,8.0,0.0
2020-02-22,3.0,5.0,3.0,-11.0,-2.0,1.0
2020-02-23,18.0,6.0,15.0,-40.0,0.0,-1.0
2020-02-24,-7.0,3.0,0.0,-54.0,-36.0,6.0
2020-02-25,-8.0,-39.0,4.0,-24.0,-62.0,7.0
2020-02-26,-20.0,-10.0,-3.0,-22.0,-33.0,7.0
2020-02-27,-3.0,0.0,-4.0,-6.0,8.0,1.0
2020-02-28,7.0,13.0,-1.0,-14.0,11.0,0.0
2020-02-29,9.0,11.0,-8.0,-14.0,7.0,2.0
2020-03-01,-1.0,6.0,-6.0,-3.0,1.0,3.0
2020-03-02,0.0,13.0,-7.0,-9.0,13.0,-1.0
2020-03-03,-1.0,9.0,-5.0,-8.0,12.0,-1.0
2020-03-04,1.0,8.0,0.0,-25.0,10.0,-2.0
2020-03-05,7.0,7.0,0.0,2.0,11.0,0.0
2020-03-06,12.0,15.0,1.0,-3.0,15.0,-1.0
2020-03-07,13.0,16.0,-10.0,-3.0,8.0,1.0
2020-03-08,21.0,19.0,11.0,-11.0,5.0,2.0
2020-03-09,-2.0,8.0,-4.0,-7.0,15.0,0.0
2020-03-10,4.0,14.0,-4.0,-8.0,17.0,-1.0
2020-03-11,0.0,7.0,-2.0,-28.0,11.0,-2.0
2020-03-12,4.0,5.0,2.0,-3.0,13.0,-1.0
2020-03-13,9.0,9.0,0.0,-6.0,15.0,-1.0
2020-03-14,3.0,13.0,-14.0,-8.0,9.0,1.0
2020-03-15,-14.0,13.0,-30.0,-2.0,-2.0,4.0
2020-03-16,-10.0,19.0,-3.0,-8.0,10.0,1.0
2020-03-17,-18.0,16.0,-10.0,-13.0,4.0,3.0
2020-03-18,-24.0,12.0,-16.0,-26.0,-13.0,6.0
2020-03-19,-50.0,-11.0,-35.0,-24.0,-51.0,16.0
2020-03-20,-45.0,14.0,-46.0,-35.0,-36.0,14.0
2020-03-21,-75.0,-21.0,-60.0,-43.0,-43.0,17.0
2020-03-22,-75.0,-29.0,-60.0,-53.0,-32.0,15.0
2020-03-23,-73.0,-26.0,-53.0,-51.0,-50.0,18.0
2020-03-24,-73.0,-31.0,-50.0,-64.0,-54.0,19.0
2020-03-25,-71.0,-28.0,-44.0,-68.0,-55.0,18.0
2020-03-26,-71.0,-31.0,-51.0,-53.0,-53.0,18.0
2020-03-27,-69.0,-28.0,-49.0,-65.0,-50.0,18.0
2020-03-28,-71.0,-29.0,-55.0,-68.0,-41.0,15.0
2020-03-29,-71.0,-27.0,-51.0,-73.0,-28.0,11.0
2020-03-30,-67.0,-23.0,-49.0,-65.0,-49.0,17.0
2020-03-31,-63.0,-15.0,-45.0,-67.0,-46.0,16.0
2020-04-01,-62.0,-12.0,-39.0,-66.0,-48.0,16.0
2020-04-02,-60.0,-17.0,-48.0,-62.0,-48.0,17.0
2020-04-03,-62.0,-16.0,-48.0,-65.0,-45.0,18.0
2020-04-04,-62.0,-13.0,-47.0,-70.0,-35.0,13.0
2020-04-05,-70.0,-22.0,-53.0,-73.0,-28.0,11.0
2020-04-06,-58.0,-14.0,-39.0,-69.0,-43.0,15.0
2020-04-07,-57.0,-13.0,-39.0,-71.0,-43.0,14.0
2020-04-08,-57.0,-11.0,-38.0,-69.0,-46.0,14.0
2020-04-09,-52.0,0.0,-30.0,-60.0,-48.0,14.0
2020-04-10,-77.0,-57.0,-53.0,-78.0,-71.0,22.0
2020-04-11,-59.0,-5.0,-46.0,-77.0,-35.0,14.0
2020-04-12,-70.0,-22.0,-56.0,-85.0,-26.0,12.0
2020-04-13,-59.0,-20.0,-38.0,-74.0,-43.0,17.0
2020-04-14,-59.0,-19.0,-45.0,-77.0,-43.0,17.0
2020-04-15,-58.0,-18.0,-37.0,-75.0,-45.0,17.0
2020-04-16,-58.0,-19.0,-38.0,-69.0,-46.0,18.0
2020-04-17,-54.0,-9.0,-35.0,-70.0,-41.0,18.0
2020-04-18,-62.0,-17.0,-46.0,-76.0,-31.0,15.0
2020-04-19,-69.0,-21.0,-48.0,-82.0,-24.0,13.0
2020-04-20,-58.0,-16.0,-40.0,-77.0,-43.0,16.0
2020-04-21,-66.0,-24.0,-43.0,-79.0,-57.0,19.0
2020-04-22,-56.0,-14.0,-37.0,-72.0,-42.0,15.0
2020-04-23,-56.0,-15.0,-33.0,-67.0,-42.0,16.0
2020-04-24,-55.0,-10.0,-38.0,-69.0,-40.0,16.0
