date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,9.0,4.0,-2.0,-3.0,6.0,0.0
2020-02-16,2.0,4.0,-11.0,-11.0,-2.0,2.0
2020-02-17,-5.0,-1.0,-6.0,-3.0,26.0,-1.0
2020-02-18,-4.0,-3.0,0.0,-3.0,22.0,-1.0
2020-02-19,-4.0,-2.0,-2.0,-5.0,19.0,-1.0
2020-02-20,0.0,-2.0,-1.0,-8.0,20.0,-1.0
2020-02-21,1.0,3.0,1.0,0.0,22.0,-2.0
2020-02-22,4.0,4.0,55.0,4.0,-1.0,-1.0
2020-02-23,4.0,-1.0,89.0,-11.0,-7.0,-2.0
2020-02-24,-5.0,-12.0,97.0,-33.0,-37.0,4.0
2020-02-25,-18.0,-25.0,144.0,-37.0,-57.0,6.0
2020-02-26,-12.0,-16.0,45.0,-10.0,-27.0,5.0
2020-02-27,-5.0,0.0,-10.0,-8.0,15.0,0.0
2020-02-28,-4.0,2.0,-14.0,-3.0,21.0,0.0
2020-02-29,4.0,8.0,-9.0,-10.0,5.0,2.0
2020-03-01,0.0,9.0,-14.0,-10.0,0.0,2.0
2020-03-02,-2.0,7.0,-8.0,4.0,27.0,-2.0
2020-03-03,3.0,8.0,-5.0,2.0,23.0,-2.0
2020-03-04,-1.0,2.0,-6.0,5.0,21.0,-2.0
2020-03-05,3.0,3.0,-3.0,5.0,21.0,-2.0
2020-03-06,8.0,9.0,-6.0,8.0,27.0,-3.0
2020-03-07,14.0,12.0,-4.0,2.0,8.0,0.0
2020-03-08,15.0,13.0,-7.0,-8.0,4.0,1.0
2020-03-09,-1.0,3.0,-8.0,3.0,28.0,-2.0
2020-03-10,0.0,3.0,-5.0,0.0,25.0,-2.0
2020-03-11,-1.0,3.0,-1.0,5.0,23.0,-2.0
2020-03-12,-3.0,-1.0,-3.0,1.0,23.0,-1.0
2020-03-13,-2.0,3.0,-7.0,5.0,26.0,-2.0
2020-03-14,0.0,7.0,-4.0,-9.0,8.0,0.0
2020-03-15,-5.0,4.0,-17.0,-9.0,3.0,2.0
2020-03-16,-12.0,0.0,-17.0,-4.0,26.0,-2.0
2020-03-17,-15.0,2.0,-20.0,-12.0,6.0,3.0
2020-03-18,-18.0,2.0,-19.0,-14.0,-3.0,5.0
2020-03-19,-23.0,-3.0,-25.0,-24.0,-6.0,7.0
2020-03-20,-28.0,1.0,-35.0,-27.0,-5.0,7.0
2020-03-21,-42.0,-2.0,-48.0,-37.0,-8.0,9.0
2020-03-22,-66.0,-12.0,-63.0,-53.0,-19.0,12.0
2020-03-23,-62.0,-19.0,-48.0,-53.0,-30.0,14.0
2020-03-24,-68.0,-29.0,-54.0,-59.0,-42.0,16.0
2020-03-25,-68.0,-29.0,-45.0,-64.0,-45.0,18.0
2020-03-26,-66.0,-28.0,-39.0,-66.0,-43.0,18.0
2020-03-27,-61.0,-27.0,-43.0,-62.0,-38.0,16.0
2020-03-28,-60.0,-21.0,-48.0,-65.0,-31.0,13.0
2020-03-29,-68.0,-25.0,-51.0,-72.0,-24.0,12.0
2020-03-30,-50.0,-19.0,-38.0,-58.0,-31.0,14.0
2020-03-31,-48.0,-18.0,-36.0,-60.0,-32.0,14.0
2020-04-01,-45.0,-8.0,-34.0,-54.0,-30.0,13.0
2020-04-02,-45.0,-10.0,-34.0,-51.0,-30.0,14.0
2020-04-03,-46.0,-10.0,-42.0,-57.0,-27.0,14.0
2020-04-04,-53.0,-10.0,-47.0,-62.0,-22.0,12.0
2020-04-05,-65.0,-19.0,-54.0,-67.0,-21.0,11.0
2020-04-06,-43.0,-9.0,-39.0,-63.0,-25.0,12.0
2020-04-07,-41.0,-7.0,-40.0,-63.0,-28.0,12.0
2020-04-08,-39.0,-5.0,-36.0,-60.0,-30.0,12.0
2020-04-09,-40.0,-1.0,-37.0,-57.0,-33.0,12.0
2020-04-10,-67.0,-26.0,-45.0,-75.0,-62.0,20.0
2020-04-11,-54.0,-14.0,-47.0,-72.0,-28.0,13.0
2020-04-12,-65.0,-19.0,-54.0,-72.0,-19.0,9.0
2020-04-13,-45.0,-14.0,-41.0,-65.0,-24.0,13.0
2020-04-14,-46.0,-14.0,-38.0,-66.0,-27.0,14.0
2020-04-15,-45.0,-12.0,-32.0,-60.0,-28.0,14.0
2020-04-16,-47.0,-12.0,-38.0,-58.0,-28.0,15.0
2020-04-17,-48.0,-10.0,-41.0,-63.0,-24.0,15.0
2020-04-18,-57.0,-14.0,-49.0,-67.0,-18.0,11.0
2020-04-19,-68.0,-19.0,-52.0,-71.0,-17.0,10.0
2020-04-20,-53.0,-18.0,-53.0,-67.0,-32.0,14.0
2020-04-21,-61.0,-21.0,-38.0,-72.0,-53.0,17.0
2020-04-22,-46.0,-10.0,-39.0,-59.0,-25.0,11.0
2020-04-23,-42.0,-5.0,-38.0,-56.0,-24.0,12.0
2020-04-24,-44.0,-2.0,-41.0,-59.0,-20.0,12.0
2020-04-25,-51.0,-5.0,-48.0,-66.0,-15.0,10.0
2020-04-26,-65.0,-13.0,-48.0,-69.0,-14.0,10.0
2020-04-27,-44.0,-9.0,-36.0,-63.0,-18.0,12.0
2020-04-28,-42.0,-7.0,-34.0,-60.0,-21.0,9.0
2020-04-29,-41.0,-4.0,-31.0,-59.0,-23.0,12.0
2020-04-30,-40.0,0.0,-33.0,-53.0,-23.0,11.0
2020-05-01,-60.0,-11.0,-40.0,-65.0,-50.0,17.0
2020-05-02,-54.0,-9.0,-50.0,-65.0,-18.0,12.0
2020-05-03,-69.0,-20.0,-59.0,-70.0,-15.0,11.0
2020-05-04,-40.0,2.0,-38.0,-57.0,-17.0,11.0
2020-05-05,-39.0,4.0,-41.0,-58.0,-22.0,13.0
2020-05-06,-43.0,-1.0,-44.0,-56.0,-25.0,14.0
2020-05-07,-37.0,6.0,-43.0,-53.0,-23.0,14.0
2020-05-08,-38.0,7.0,-45.0,-52.0,-19.0,14.0
2020-05-09,-40.0,11.0,-52.0,-61.0,-12.0,11.0
2020-05-10,-57.0,2.0,-53.0,-66.0,3.0,7.0
2020-05-11,-43.0,-7.0,-42.0,-59.0,-19.0,13.0
2020-05-12,-42.0,-7.0,-42.0,-62.0,-23.0,14.0
2020-05-13,-45.0,-7.0,-43.0,-56.0,-25.0,15.0
2020-05-14,-45.0,-11.0,-42.0,-58.0,-23.0,13.0
2020-05-15,-46.0,-9.0,-43.0,-56.0,-20.0,15.0
2020-05-16,-52.0,-9.0,-51.0,-64.0,-14.0,14.0
2020-05-17,-68.0,-17.0,-57.0,-70.0,-12.0,14.0
2020-05-18,-46.0,-9.0,-37.0,-59.0,-18.0,14.0
2020-05-19,-44.0,-7.0,-37.0,-61.0,-22.0,15.0
2020-05-20,-44.0,0.0,-35.0,-55.0,-24.0,15.0
2020-05-21,-45.0,-4.0,-35.0,-57.0,-25.0,16.0
2020-05-22,-48.0,-4.0,-47.0,-55.0,-21.0,16.0
2020-05-23,-52.0,-1.0,-49.0,-65.0,-13.0,13.0
2020-05-24,-66.0,-9.0,-53.0,-68.0,-12.0,13.0
2020-05-25,-46.0,-4.0,-40.0,-58.0,-21.0,15.0
2020-05-26,-47.0,-5.0,-42.0,-62.0,-23.0,15.0
2020-05-27,-46.0,-1.0,-42.0,-55.0,-26.0,15.0
2020-05-28,-43.0,2.0,-42.0,-53.0,-25.0,16.0
2020-05-29,-43.0,7.0,-50.0,-48.0,-21.0,17.0
