date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,5.0,6.0,-14.0,-1.0,6.0,1.0
2020-02-16,-3.0,3.0,-24.0,-8.0,0.0,4.0
2020-02-17,3.0,2.0,-27.0,7.0,17.0,0.0
2020-02-18,-1.0,-1.0,-22.0,4.0,16.0,0.0
2020-02-19,-8.0,-8.0,-31.0,1.0,14.0,1.0
2020-02-20,1.0,3.0,-24.0,6.0,13.0,0.0
2020-02-21,4.0,10.0,9.0,12.0,16.0,-1.0
2020-02-22,-2.0,10.0,15.0,2.0,-6.0,-1.0
2020-02-23,-4.0,9.0,41.0,-5.0,-6.0,1.0
2020-02-24,-25.0,-48.0,111.0,-25.0,-60.0,7.0
2020-02-25,-26.0,-29.0,104.0,-24.0,-61.0,4.0
2020-02-26,-22.0,-18.0,4.0,-16.0,-34.0,3.0
2020-02-27,-10.0,-3.0,-23.0,2.0,11.0,1.0
2020-02-28,-7.0,-3.0,-25.0,-3.0,16.0,2.0
2020-02-29,-6.0,2.0,-32.0,-9.0,2.0,4.0
2020-03-01,-20.0,-1.0,-44.0,-22.0,-6.0,8.0
2020-03-02,-1.0,3.0,-29.0,2.0,18.0,0.0
2020-03-03,-3.0,3.0,-24.0,2.0,17.0,0.0
2020-03-04,-6.0,-3.0,-28.0,1.0,16.0,1.0
2020-03-05,-1.0,3.0,-18.0,3.0,16.0,0.0
2020-03-06,1.0,1.0,-19.0,1.0,20.0,0.0
2020-03-07,4.0,7.0,-27.0,-5.0,3.0,3.0
2020-03-08,2.0,9.0,-24.0,-9.0,1.0,5.0
2020-03-09,1.0,2.0,-25.0,3.0,19.0,0.0
2020-03-10,0.0,3.0,-19.0,1.0,17.0,0.0
2020-03-11,-5.0,-4.0,-23.0,0.0,16.0,0.0
2020-03-12,-12.0,-9.0,-33.0,-3.0,13.0,2.0
2020-03-13,-8.0,-6.0,-31.0,-5.0,16.0,2.0
2020-03-14,-1.0,4.0,-29.0,-8.0,3.0,3.0
2020-03-15,-15.0,3.0,-36.0,-17.0,-2.0,6.0
2020-03-16,-7.0,2.0,-33.0,-2.0,16.0,1.0
2020-03-17,-13.0,4.0,-26.0,-6.0,11.0,2.0
2020-03-18,-24.0,-3.0,-32.0,-17.0,-7.0,7.0
2020-03-19,-29.0,-5.0,-33.0,-22.0,-12.0,9.0
2020-03-20,-35.0,-6.0,-42.0,-28.0,-13.0,10.0
2020-03-21,-56.0,-11.0,-62.0,-41.0,-22.0,13.0
2020-03-22,-75.0,-33.0,-75.0,-61.0,-33.0,18.0
2020-03-23,-63.0,-31.0,-67.0,-53.0,-39.0,18.0
2020-03-24,-67.0,-36.0,-65.0,-58.0,-46.0,19.0
2020-03-25,-68.0,-37.0,-66.0,-59.0,-48.0,20.0
2020-03-26,-66.0,-33.0,-60.0,-59.0,-46.0,19.0
2020-03-27,-65.0,-32.0,-61.0,-57.0,-42.0,20.0
2020-03-28,-66.0,-31.0,-66.0,-58.0,-35.0,17.0
2020-03-29,-74.0,-36.0,-74.0,-66.0,-33.0,19.0
2020-03-30,-60.0,-29.0,-63.0,-58.0,-40.0,19.0
2020-03-31,-58.0,-23.0,-58.0,-57.0,-40.0,17.0
2020-04-01,-58.0,-23.0,-57.0,-56.0,-40.0,18.0
2020-04-02,-58.0,-22.0,-58.0,-55.0,-41.0,18.0
2020-04-03,-59.0,-21.0,-59.0,-53.0,-37.0,18.0
2020-04-04,-62.0,-20.0,-68.0,-56.0,-32.0,16.0
2020-04-05,-70.0,-30.0,-71.0,-64.0,-30.0,18.0
2020-04-06,-54.0,-16.0,-58.0,-52.0,-37.0,17.0
2020-04-07,-53.0,-12.0,-54.0,-52.0,-37.0,16.0
2020-04-08,-54.0,-13.0,-54.0,-50.0,-37.0,16.0
2020-04-09,-51.0,-2.0,-49.0,-49.0,-41.0,15.0
2020-04-10,-77.0,-47.0,-58.0,-67.0,-66.0,23.0
2020-04-11,-59.0,-17.0,-62.0,-56.0,-34.0,16.0
2020-04-12,-69.0,-33.0,-67.0,-63.0,-27.0,16.0
2020-04-13,-53.0,-20.0,-58.0,-52.0,-35.0,17.0
2020-04-14,-56.0,-22.0,-56.0,-54.0,-37.0,17.0
2020-04-15,-60.0,-25.0,-59.0,-57.0,-40.0,19.0
2020-04-16,-63.0,-20.0,-55.0,-56.0,-39.0,18.0
2020-04-17,-60.0,-16.0,-54.0,-51.0,-33.0,18.0
2020-04-18,-65.0,-20.0,-62.0,-54.0,-27.0,15.0
2020-04-19,-73.0,-37.0,-65.0,-62.0,-26.0,17.0
2020-04-20,-59.0,-15.0,-53.0,-52.0,-37.0,16.0
2020-04-21,-77.0,-54.0,-60.0,-70.0,-63.0,22.0
2020-04-22,-62.0,-20.0,-55.0,-53.0,-35.0,16.0
2020-04-23,-62.0,-22.0,-50.0,-52.0,-35.0,16.0
2020-04-24,-63.0,-23.0,-55.0,-51.0,-31.0,17.0
2020-04-25,-64.0,-19.0,-61.0,-54.0,-25.0,15.0
2020-04-26,-73.0,-30.0,-67.0,-62.0,-25.0,17.0
2020-04-27,-60.0,-21.0,-57.0,-51.0,-31.0,16.0
2020-04-28,-60.0,-19.0,-52.0,-51.0,-33.0,13.0
2020-04-29,-60.0,-20.0,-57.0,-52.0,-33.0,16.0
2020-04-30,-53.0,0.0,-61.0,-43.0,-31.0,13.0
2020-05-01,-76.0,-66.0,-57.0,-63.0,-62.0,22.0
2020-05-02,-59.0,-3.0,-68.0,-50.0,-25.0,14.0
2020-05-03,-70.0,-22.0,-67.0,-59.0,-21.0,15.0
2020-05-04,-58.0,-14.0,-71.0,-54.0,-31.0,16.0
2020-05-05,-54.0,-4.0,-64.0,-47.0,-30.0,15.0
2020-05-06,-54.0,-5.0,-62.0,-45.0,-30.0,15.0
2020-05-07,-52.0,-3.0,-57.0,-45.0,-30.0,15.0
2020-05-08,-52.0,-2.0,-60.0,-42.0,-25.0,15.0
2020-05-09,-54.0,1.0,-65.0,-44.0,-19.0,13.0
2020-05-10,-66.0,-9.0,-68.0,-51.0,-4.0,12.0
2020-05-11,-55.0,-13.0,-64.0,-47.0,-29.0,16.0
2020-05-12,-56.0,-15.0,-61.0,-48.0,-31.0,15.0
2020-05-13,-58.0,-19.0,-62.0,-51.0,-33.0,17.0
2020-05-14,-58.0,-19.0,-64.0,-54.0,-32.0,15.0
2020-05-15,-60.0,-18.0,-69.0,-54.0,-29.0,18.0
2020-05-16,-67.0,-26.0,-76.0,-64.0,-29.0,18.0
2020-05-17,-70.0,-22.0,-71.0,-59.0,-19.0,17.0
2020-05-18,-54.0,-15.0,-65.0,-51.0,-29.0,16.0
2020-05-19,-56.0,-17.0,-62.0,-51.0,-31.0,16.0
2020-05-20,-58.0,-17.0,-66.0,-49.0,-32.0,17.0
2020-05-21,-56.0,-14.0,-61.0,-48.0,-32.0,17.0
2020-05-22,-59.0,-20.0,-66.0,-50.0,-28.0,17.0
2020-05-23,-62.0,-16.0,-74.0,-54.0,-23.0,16.0
2020-05-24,-74.0,-28.0,-77.0,-64.0,-23.0,18.0
2020-05-25,-54.0,-11.0,-64.0,-47.0,-29.0,17.0
2020-05-26,-55.0,-14.0,-61.0,-48.0,-30.0,16.0
2020-05-27,-56.0,-14.0,-61.0,-47.0,-30.0,17.0
2020-05-28,-55.0,-11.0,-60.0,-46.0,-31.0,16.0
2020-05-29,-55.0,-8.0,-63.0,-45.0,-26.0,17.0
