date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,6.0,5.0,1.0,2.0,5.0,0.0
2020-02-16,-1.0,4.0,-5.0,-4.0,0.0,1.0
2020-02-17,-1.0,1.0,0.0,7.0,16.0,-1.0
2020-02-18,0.0,1.0,5.0,5.0,15.0,-1.0
2020-02-19,-7.0,-2.0,-6.0,4.0,20.0,-1.0
2020-02-20,-8.0,-1.0,-20.0,2.0,18.0,0.0
2020-02-21,4.0,8.0,1.0,9.0,18.0,-2.0
2020-02-22,4.0,7.0,19.0,6.0,1.0,-1.0
2020-02-23,3.0,5.0,23.0,-1.0,-1.0,0.0
2020-02-24,-5.0,0.0,36.0,-16.0,-28.0,4.0
2020-02-25,-32.0,-24.0,18.0,-32.0,-55.0,9.0
2020-02-26,-21.0,-9.0,-22.0,-17.0,-9.0,8.0
2020-02-27,-7.0,3.0,-7.0,8.0,19.0,-1.0
2020-02-28,-2.0,5.0,1.0,7.0,21.0,-2.0
2020-02-29,1.0,8.0,-1.0,-2.0,8.0,2.0
2020-03-01,-4.0,9.0,-6.0,-5.0,3.0,3.0
2020-03-02,-2.0,5.0,1.0,9.0,22.0,-2.0
2020-03-03,0.0,5.0,6.0,7.0,21.0,-2.0
2020-03-04,-3.0,5.0,7.0,9.0,24.0,-2.0
2020-03-05,2.0,10.0,1.0,13.0,23.0,-2.0
2020-03-06,13.0,17.0,14.0,15.0,24.0,-4.0
2020-03-07,16.0,18.0,11.0,8.0,8.0,-1.0
2020-03-08,13.0,16.0,3.0,1.0,5.0,0.0
2020-03-09,2.0,8.0,8.0,13.0,23.0,-2.0
2020-03-10,5.0,9.0,11.0,13.0,22.0,-3.0
2020-03-11,-1.0,5.0,9.0,13.0,24.0,-2.0
2020-03-12,-1.0,6.0,1.0,12.0,22.0,-2.0
2020-03-13,5.0,8.0,7.0,13.0,23.0,-3.0
2020-03-14,3.0,8.0,4.0,3.0,6.0,0.0
2020-03-15,-4.0,8.0,-1.0,-5.0,3.0,1.0
2020-03-16,-10.0,6.0,-6.0,3.0,19.0,0.0
2020-03-17,-13.0,6.0,-8.0,-6.0,14.0,0.0
2020-03-18,-22.0,6.0,-14.0,-12.0,7.0,4.0
2020-03-19,-34.0,2.0,-33.0,-23.0,-4.0,7.0
2020-03-20,-35.0,5.0,-30.0,-27.0,-8.0,8.0
2020-03-21,-57.0,-10.0,-51.0,-52.0,-23.0,12.0
2020-03-22,-70.0,-34.0,-59.0,-64.0,-29.0,14.0
2020-03-23,-62.0,-25.0,-52.0,-65.0,-33.0,16.0
2020-03-24,-66.0,-30.0,-50.0,-69.0,-41.0,17.0
2020-03-25,-67.0,-31.0,-49.0,-69.0,-40.0,18.0
2020-03-26,-65.0,-29.0,-51.0,-68.0,-39.0,18.0
2020-03-27,-63.0,-26.0,-45.0,-66.0,-37.0,18.0
2020-03-28,-68.0,-28.0,-54.0,-66.0,-34.0,15.0
2020-03-29,-68.0,-33.0,-56.0,-68.0,-26.0,14.0
2020-03-30,-53.0,-23.0,-44.0,-64.0,-31.0,15.0
2020-03-31,-50.0,-18.0,-42.0,-62.0,-31.0,14.0
2020-04-01,-50.0,-15.0,-38.0,-61.0,-28.0,14.0
2020-04-02,-49.0,-12.0,-42.0,-60.0,-29.0,14.0
2020-04-03,-48.0,-6.0,-37.0,-58.0,-27.0,14.0
2020-04-04,-53.0,-7.0,-43.0,-54.0,-24.0,12.0
2020-04-05,-59.0,-20.0,-44.0,-58.0,-20.0,11.0
2020-04-06,-39.0,-8.0,-32.0,-47.0,-22.0,12.0
2020-04-07,-33.0,0.0,-26.0,-45.0,-22.0,11.0
2020-04-08,-34.0,2.0,-21.0,-41.0,-19.0,11.0
2020-04-09,-28.0,19.0,-22.0,-38.0,-25.0,9.0
2020-04-10,-70.0,-36.0,-47.0,-68.0,-67.0,21.0
2020-04-11,-40.0,3.0,-30.0,-42.0,-23.0,11.0
2020-04-12,-56.0,-18.0,-45.0,-53.0,-13.0,8.0
2020-04-13,-36.0,-12.0,-25.0,-40.0,-17.0,10.0
