date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,5.0,3.0,1.0,-9.0,1.0,0.0
2020-02-16,-4.0,0.0,-21.0,-13.0,-1.0,3.0
2020-02-17,-4.0,1.0,-20.0,-7.0,15.0,0.0
2020-02-18,-3.0,-1.0,-18.0,-5.0,14.0,-1.0
2020-02-19,1.0,-1.0,-10.0,-2.0,14.0,-1.0
2020-02-20,-11.0,-5.0,-23.0,-6.0,10.0,1.0
2020-02-21,-2.0,12.0,-23.0,7.0,11.0,0.0
2020-02-22,-9.0,9.0,-4.0,4.0,-5.0,0.0
2020-02-23,-8.0,6.0,18.0,-15.0,-3.0,1.0
2020-02-24,-24.0,-15.0,50.0,-36.0,-55.0,6.0
2020-02-25,-31.0,-30.0,44.0,-31.0,-62.0,5.0
2020-02-26,-23.0,-19.0,-10.0,-20.0,-39.0,3.0
2020-02-27,-10.0,-5.0,-15.0,-5.0,7.0,1.0
2020-02-28,-10.0,0.0,-30.0,-10.0,11.0,2.0
2020-02-29,-7.0,4.0,-30.0,-10.0,2.0,3.0
2020-03-01,-12.0,1.0,-32.0,-6.0,-2.0,5.0
2020-03-02,-6.0,2.0,-26.0,-3.0,15.0,0.0
2020-03-03,-4.0,0.0,-22.0,-4.0,14.0,0.0
2020-03-04,-2.0,-1.0,-18.0,-5.0,15.0,0.0
2020-03-05,-4.0,1.0,-13.0,-4.0,15.0,-1.0
2020-03-06,-1.0,6.0,-21.0,-1.0,18.0,0.0
2020-03-07,0.0,8.0,-22.0,-7.0,4.0,1.0
2020-03-08,2.0,5.0,-21.0,-13.0,1.0,3.0
2020-03-09,-4.0,3.0,-16.0,-4.0,16.0,0.0
2020-03-10,-2.0,2.0,-16.0,-3.0,15.0,-1.0
2020-03-11,-1.0,-2.0,-15.0,-2.0,15.0,-1.0
2020-03-12,-5.0,-4.0,-14.0,-5.0,14.0,0.0
2020-03-13,-5.0,-1.0,-27.0,-5.0,17.0,0.0
2020-03-14,-6.0,2.0,-27.0,-8.0,4.0,2.0
2020-03-15,-17.0,-4.0,-37.0,-20.0,-3.0,4.0
2020-03-16,-13.0,-2.0,-31.0,-12.0,12.0,1.0
2020-03-17,-14.0,0.0,-26.0,-11.0,8.0,1.0
2020-03-18,-23.0,-9.0,-36.0,-21.0,-7.0,6.0
2020-03-19,-25.0,-7.0,-25.0,-22.0,-7.0,6.0
2020-03-20,-31.0,1.0,-42.0,-26.0,-9.0,8.0
2020-03-21,-65.0,-18.0,-61.0,-41.0,-29.0,13.0
2020-03-22,-75.0,-35.0,-73.0,-56.0,-31.0,15.0
2020-03-23,-71.0,-34.0,-64.0,-59.0,-46.0,18.0
2020-03-24,-73.0,-40.0,-64.0,-64.0,-51.0,18.0
2020-03-25,-71.0,-37.0,-62.0,-64.0,-50.0,18.0
2020-03-26,-69.0,-35.0,-57.0,-65.0,-49.0,17.0
2020-03-27,-71.0,-35.0,-66.0,-68.0,-47.0,20.0
2020-03-28,-70.0,-32.0,-67.0,-69.0,-38.0,16.0
2020-03-29,-77.0,-43.0,-79.0,-76.0,-35.0,17.0
2020-03-30,-63.0,-25.0,-60.0,-65.0,-42.0,16.0
2020-03-31,-61.0,-23.0,-57.0,-62.0,-42.0,15.0
2020-04-01,-60.0,-23.0,-55.0,-61.0,-42.0,15.0
2020-04-02,-62.0,-23.0,-54.0,-64.0,-42.0,16.0
2020-04-03,-63.0,-20.0,-61.0,-64.0,-38.0,17.0
2020-04-04,-64.0,-18.0,-64.0,-68.0,-31.0,13.0
2020-04-05,-69.0,-27.0,-68.0,-71.0,-26.0,14.0
2020-04-06,-59.0,-15.0,-57.0,-63.0,-37.0,15.0
2020-04-07,-55.0,-9.0,-52.0,-58.0,-37.0,13.0
2020-04-08,-54.0,-5.0,-47.0,-59.0,-37.0,13.0
2020-04-09,-53.0,7.0,-42.0,-58.0,-40.0,12.0
2020-04-10,-77.0,-42.0,-62.0,-76.0,-63.0,18.0
2020-04-11,-62.0,-14.0,-59.0,-69.0,-34.0,13.0
2020-04-12,-67.0,-21.0,-64.0,-68.0,-22.0,12.0
2020-04-13,-56.0,-17.0,-53.0,-62.0,-35.0,14.0
2020-04-14,-56.0,-20.0,-51.0,-62.0,-36.0,14.0
2020-04-15,-55.0,-18.0,-48.0,-60.0,-35.0,14.0
2020-04-16,-61.0,-20.0,-48.0,-61.0,-37.0,15.0
2020-04-17,-60.0,-14.0,-54.0,-58.0,-33.0,16.0
2020-04-18,-64.0,-19.0,-60.0,-65.0,-28.0,12.0
2020-04-19,-70.0,-28.0,-66.0,-70.0,-23.0,13.0
2020-04-20,-58.0,-15.0,-49.0,-60.0,-35.0,14.0
2020-04-21,-69.0,-37.0,-53.0,-71.0,-57.0,18.0
2020-04-22,-58.0,-22.0,-49.0,-59.0,-33.0,13.0
2020-04-23,-59.0,-22.0,-45.0,-63.0,-34.0,14.0
2020-04-24,-64.0,-26.0,-59.0,-63.0,-33.0,16.0
2020-04-25,-62.0,-20.0,-61.0,-65.0,-25.0,13.0
2020-04-26,-73.0,-38.0,-74.0,-74.0,-28.0,15.0
2020-04-27,-59.0,-20.0,-53.0,-61.0,-31.0,14.0
2020-04-28,-58.0,-21.0,-51.0,-61.0,-34.0,11.0
2020-04-29,-56.0,-19.0,-47.0,-57.0,-33.0,13.0
2020-04-30,-54.0,-14.0,-50.0,-57.0,-34.0,13.0
2020-05-01,-74.0,-34.0,-64.0,-72.0,-60.0,21.0
2020-05-02,-60.0,-15.0,-62.0,-64.0,-28.0,13.0
2020-05-03,-68.0,-26.0,-66.0,-68.0,-21.0,13.0
2020-05-04,-55.0,-13.0,-54.0,-60.0,-32.0,14.0
2020-05-05,-54.0,-11.0,-50.0,-58.0,-33.0,13.0
2020-05-06,-53.0,-13.0,-49.0,-53.0,-33.0,14.0
2020-05-07,-55.0,-11.0,-48.0,-54.0,-34.0,14.0
2020-05-08,-55.0,-7.0,-55.0,-52.0,-30.0,15.0
2020-05-09,-56.0,-3.0,-60.0,-60.0,-23.0,13.0
2020-05-10,-67.0,-18.0,-71.0,-68.0,-9.0,12.0
2020-05-11,-58.0,-19.0,-57.0,-56.0,-34.0,15.0
2020-05-12,-58.0,-21.0,-57.0,-55.0,-35.0,14.0
2020-05-13,-57.0,-23.0,-54.0,-56.0,-35.0,15.0
2020-05-14,-58.0,-22.0,-51.0,-57.0,-36.0,14.0
2020-05-15,-59.0,-18.0,-59.0,-56.0,-33.0,17.0
2020-05-16,-62.0,-19.0,-64.0,-62.0,-26.0,14.0
2020-05-17,-71.0,-30.0,-72.0,-72.0,-23.0,16.0
2020-05-18,-58.0,-21.0,-59.0,-59.0,-34.0,16.0
2020-05-19,-58.0,-20.0,-59.0,-56.0,-36.0,15.0
2020-05-20,-58.0,-21.0,-60.0,-59.0,-37.0,16.0
2020-05-21,-59.0,-21.0,-54.0,-58.0,-37.0,16.0
2020-05-22,-60.0,-18.0,-61.0,-57.0,-33.0,17.0
2020-05-23,-62.0,-18.0,-66.0,-64.0,-25.0,15.0
2020-05-24,-73.0,-36.0,-77.0,-74.0,-26.0,17.0
