date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,-1.0,4.0,-21.0,-1.0,7.0,0.0
2020-02-16,-9.0,-3.0,-28.0,-4.0,-2.0,3.0
2020-02-17,-5.0,0.0,-19.0,-6.0,23.0,0.0
2020-02-18,-3.0,-2.0,-8.0,-5.0,23.0,-2.0
2020-02-19,-2.0,-2.0,-10.0,-6.0,21.0,-1.0
2020-02-20,3.0,9.0,-6.0,0.0,21.0,-2.0
2020-02-21,-2.0,14.0,-5.0,8.0,19.0,-2.0
2020-02-22,-4.0,9.0,19.0,12.0,-6.0,-1.0
2020-02-23,-1.0,9.0,34.0,-3.0,-8.0,3.0
2020-02-24,-14.0,-18.0,144.0,-37.0,-58.0,9.0
2020-02-25,-22.0,-43.0,147.0,-35.0,-64.0,6.0
2020-02-26,-15.0,-12.0,31.0,-21.0,-26.0,5.0
2020-02-27,-12.0,-3.0,-17.0,-15.0,11.0,3.0
2020-02-28,-15.0,3.0,-42.0,-19.0,12.0,4.0
2020-02-29,-6.0,8.0,-36.0,-14.0,5.0,4.0
2020-03-01,-22.0,-4.0,-51.0,-19.0,-4.0,7.0
2020-03-02,-13.0,2.0,-39.0,-18.0,17.0,2.0
2020-03-03,-5.0,3.0,-22.0,-5.0,23.0,-1.0
2020-03-04,-9.0,-2.0,-31.0,-7.0,21.0,0.0
2020-03-05,-6.0,3.0,-33.0,-2.0,22.0,0.0
2020-03-06,-3.0,12.0,-31.0,2.0,24.0,-1.0
2020-03-07,-5.0,10.0,-52.0,-9.0,5.0,4.0
2020-03-08,-7.0,5.0,-50.0,-15.0,1.0,6.0
2020-03-09,-3.0,6.0,-23.0,-1.0,25.0,-1.0
2020-03-10,-2.0,4.0,-20.0,-3.0,24.0,-1.0
2020-03-11,-3.0,0.0,-20.0,-2.0,22.0,-1.0
2020-03-12,-6.0,0.0,-28.0,-3.0,22.0,0.0
2020-03-13,-6.0,4.0,-31.0,-1.0,24.0,-1.0
2020-03-14,-4.0,7.0,-34.0,-9.0,6.0,2.0
2020-03-15,-14.0,2.0,-35.0,-15.0,0.0,4.0
2020-03-16,-12.0,8.0,-25.0,-8.0,21.0,0.0
2020-03-17,-18.0,8.0,-27.0,-21.0,9.0,3.0
2020-03-18,-24.0,0.0,-31.0,-26.0,1.0,7.0
2020-03-19,-34.0,3.0,-39.0,-34.0,-9.0,10.0
2020-03-20,-43.0,3.0,-52.0,-40.0,-15.0,12.0
2020-03-21,-66.0,-15.0,-75.0,-57.0,-33.0,16.0
2020-03-22,-76.0,-41.0,-83.0,-67.0,-38.0,19.0
2020-03-23,-67.0,-28.0,-66.0,-64.0,-41.0,20.0
2020-03-24,-68.0,-35.0,-64.0,-68.0,-47.0,20.0
2020-03-25,-67.0,-33.0,-61.0,-68.0,-48.0,21.0
2020-03-26,-66.0,-31.0,-60.0,-68.0,-47.0,21.0
2020-03-27,-65.0,-25.0,-62.0,-65.0,-44.0,22.0
2020-03-28,-68.0,-26.0,-68.0,-65.0,-38.0,17.0
2020-03-29,-68.0,-35.0,-69.0,-69.0,-31.0,16.0
2020-03-30,-60.0,-26.0,-54.0,-65.0,-40.0,18.0
2020-03-31,-58.0,-21.0,-53.0,-64.0,-41.0,18.0
2020-04-01,-58.0,-20.0,-56.0,-64.0,-42.0,19.0
2020-04-02,-56.0,-17.0,-53.0,-64.0,-41.0,19.0
2020-04-03,-59.0,-16.0,-58.0,-62.0,-39.0,19.0
2020-04-04,-61.0,-13.0,-66.0,-63.0,-33.0,15.0
2020-04-05,-67.0,-28.0,-72.0,-68.0,-30.0,16.0
2020-04-06,-49.0,-12.0,-50.0,-58.0,-33.0,16.0
2020-04-07,-46.0,-8.0,-42.0,-56.0,-33.0,15.0
2020-04-08,-48.0,-6.0,-54.0,-57.0,-35.0,16.0
2020-04-09,-45.0,10.0,-52.0,-57.0,-38.0,16.0
2020-04-10,-74.0,-46.0,-66.0,-74.0,-71.0,27.0
2020-04-11,-56.0,-5.0,-65.0,-57.0,-30.0,14.0
2020-04-12,-67.0,-26.0,-75.0,-64.0,-27.0,14.0
2020-04-13,-49.0,-18.0,-53.0,-56.0,-31.0,16.0
2020-04-14,-49.0,-19.0,-45.0,-58.0,-32.0,16.0
2020-04-15,-50.0,-17.0,-47.0,-58.0,-32.0,17.0
2020-04-16,-52.0,-12.0,-47.0,-57.0,-32.0,17.0
2020-04-17,-53.0,-5.0,-55.0,-55.0,-30.0,18.0
2020-04-18,-59.0,-11.0,-63.0,-56.0,-24.0,13.0
2020-04-19,-67.0,-21.0,-66.0,-66.0,-25.0,14.0
2020-04-20,-66.0,-37.0,-48.0,-71.0,-61.0,21.0
2020-04-21,-71.0,-46.0,-44.0,-76.0,-68.0,21.0
2020-04-22,-48.0,-10.0,-43.0,-54.0,-27.0,14.0
2020-04-23,-51.0,-14.0,-46.0,-56.0,-28.0,16.0
2020-04-24,-54.0,-12.0,-52.0,-53.0,-25.0,16.0
2020-04-25,-58.0,-13.0,-62.0,-56.0,-20.0,13.0
2020-04-26,-64.0,-24.0,-63.0,-65.0,-22.0,14.0
2020-04-27,-52.0,-18.0,-49.0,-55.0,-24.0,15.0
2020-04-28,-50.0,-17.0,-42.0,-55.0,-26.0,12.0
2020-04-29,-50.0,-16.0,-46.0,-55.0,-26.0,15.0
2020-04-30,-41.0,9.0,-41.0,-50.0,-24.0,13.0
2020-05-01,-70.0,-67.0,-47.0,-74.0,-67.0,24.0
2020-05-02,-52.0,2.0,-55.0,-53.0,-20.0,12.0
2020-05-03,-64.0,-22.0,-67.0,-62.0,-21.0,13.0
2020-05-04,-47.0,-7.0,-45.0,-52.0,-22.0,14.0
2020-05-05,-45.0,-7.0,-39.0,-51.0,-23.0,13.0
2020-05-06,-44.0,-5.0,-39.0,-49.0,-23.0,14.0
2020-05-07,-46.0,-4.0,-53.0,-50.0,-25.0,16.0
2020-05-08,-44.0,7.0,-52.0,-44.0,-21.0,15.0
2020-05-09,-45.0,8.0,-61.0,-45.0,-14.0,12.0
2020-05-10,-59.0,-8.0,-69.0,-58.0,-8.0,11.0
2020-05-11,-44.0,-12.0,-46.0,-49.0,-22.0,14.0
2020-05-12,-44.0,-11.0,-40.0,-51.0,-22.0,14.0
2020-05-13,-44.0,-14.0,-41.0,-52.0,-24.0,15.0
2020-05-14,-46.0,-12.0,-44.0,-51.0,-24.0,14.0
2020-05-15,-50.0,-10.0,-58.0,-49.0,-22.0,16.0
2020-05-16,-58.0,-14.0,-72.0,-54.0,-20.0,15.0
2020-05-17,-64.0,-24.0,-71.0,-68.0,-18.0,15.0
